campaign_id,pair_id,repetition,timestamp,scenario,mode,seed,repetitions_duration_seconds,dt,speed,grid_size,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions,collision_avoided,light_avg_wait_time,heavy_avg_wait_time,light_completed,heavy_completed,vehicles_active,vehicles_completed,simulation_time
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_23,23,2026-03-14T00:25:42.873Z,rush_hour,traditional,20362532,300,0.2,1,6,51.8,3.4,466.96,0,236,0,51.8,0,17,0,13,17,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_23,23,2026-03-14T00:25:42.934Z,rush_hour,ai,20362532,300,0.2,1,6,23.7,7.8,470.65,3.2,219,1,29.3,46.4,30,1,23,39,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_24,24,2026-03-14T00:25:42.995Z,rush_hour,traditional,20362629,300,0.2,1,6,26.2,1.6,388.33,16.2,239,0,28,0,7,0,14,8,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_24,24,2026-03-14T00:25:43.029Z,rush_hour,ai,20362629,300,0.2,1,6,23.6,7,471.77,2.3,225,0,29,23.6,26,3,16,35,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_25,25,2026-03-14T00:25:43.065Z,rush_hour,traditional,20362726,300,0.2,1,6,60,2.6,475.4,43.4,238,0,61,68.2,11,1,13,13,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_25,25,2026-03-14T00:25:43.097Z,rush_hour,ai,20362726,300,0.2,1,6,16.8,8.6,456.15,2.5,223,1,27,24.9,25,2,15,43,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_26,26,2026-03-14T00:25:43.128Z,rush_hour,traditional,20362823,300,0.2,1,6,69.9,2.2,479.54,58.4,236,1,70.7,89.8,8,1,18,11,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_26,26,2026-03-14T00:25:43.156Z,rush_hour,ai,20362823,300,0.2,1,6,14.5,6.6,416.17,2.9,228,1,20.9,0,23,0,13,33,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_27,27,2026-03-14T00:25:43.188Z,rush_hour,traditional,20362920,300,0.2,1,6,57.4,2.6,462.95,0,233,2,56,75,12,1,22,13,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_27,27,2026-03-14T00:25:43.218Z,rush_hour,ai,20362920,300,0.2,1,6,20.5,10.2,495.24,3.3,214,0,23.8,45.7,40,2,21,51,300
