timestamp,scenario,mode,repetition,seed,grid_size,duration,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions
2026-03-14T17:23:23.203Z,rush_hour,traditional,5,20366906,6,120,45.4,1,145.24,0,89
2026-03-14T17:23:23.211Z,rush_hour,ai,5,20366906,6,120,18.1,5.5,169.57,2.6,88
2026-03-14T17:23:23.220Z,rush_hour,rl,5,20366906,6,120,19.8,4,158.14,38.8,89
2026-03-14T17:23:23.227Z,rush_hour,traditional,6,20367003,6,120,29.5,1,142.8,0,90
2026-03-14T17:23:23.234Z,rush_hour,ai,6,20367003,6,120,20.5,7.5,171.15,2.1,85
2026-03-14T17:23:23.242Z,rush_hour,rl,6,20367003,6,120,14.6,7,174.25,14.7,87
2026-03-14T17:23:23.246Z,accident,traditional,1,20466518,6,120,76,0.5,50.4,78.8,24
2026-03-14T17:23:23.249Z,accident,ai,1,20466518,6,120,24.5,3.5,58.12,3.2,22
2026-03-14T17:23:23.253Z,accident,rl,1,20466518,6,120,35,2.5,59.67,25.6,23
2026-03-14T17:23:23.257Z,accident,traditional,2,20466615,6,120,45,1.5,49.26,0,21
2026-03-14T17:23:23.261Z,accident,ai,2,20466615,6,120,22,6.5,86.19,2.5,20
2026-03-14T17:23:23.265Z,accident,rl,2,20466615,6,120,45.1,2.5,81.62,45.6,24
2026-03-14T17:23:23.269Z,accident,traditional,3,20466712,6,120,0,0,37.5,0,25
2026-03-14T17:23:23.272Z,accident,ai,3,20466712,6,120,23.9,4,60.29,3.4,22
2026-03-14T17:23:23.275Z,accident,rl,3,20466712,6,120,27.6,2.5,47.2,0,19
2026-03-14T17:23:23.277Z,accident,traditional,4,20466809,6,120,0,0,40.5,0,27
2026-03-14T17:23:23.280Z,accident,ai,4,20466809,6,120,28.6,5,72.07,3.1,21
2026-03-14T17:23:23.283Z,accident,rl,4,20466809,6,120,29.5,3.5,61.23,27.6,21
2026-03-14T17:23:23.286Z,accident,traditional,5,20466906,6,120,45.4,0.5,41.93,0,24
2026-03-14T17:23:23.289Z,accident,ai,5,20466906,6,120,23.2,3,51.02,2.4,21
2026-03-14T17:23:23.292Z,accident,rl,5,20466906,6,120,34.8,2.5,51.82,0,19
2026-03-14T17:23:23.295Z,accident,traditional,6,20467003,6,120,17.8,1,42.79,0,25
2026-03-14T17:23:23.297Z,accident,ai,6,20467003,6,120,31.5,2,55.18,7.8,25
